---------------------------------------------------------
mask ratio : 0.75;
layer name	KL divergency	accuracy
features.stage2.unit3.branches.branch2.conv_list.conv2.conv.weight	0.045916058	78.75
features.stage2.unit3.branches.branch2.conv_list.conv3.conv.weight	0.07534537	74.0
features.stage2.unit3.branches.branch3.conv_list.conv1.conv.weight	0.14238414	76.0
features.stage2.unit3.branches.branch3.conv_list.conv2.conv.weight	0.2590934	72.75
features.stage2.unit3.branches.branch3.conv_list.conv3.conv.weight	0.44975987	67.25
features.stage2.unit3.branches.branch3.conv_list.conv4.conv.weight	0.18040028	76.25
features.stage2.unit3.branches.branch3.conv_list.conv5.conv.weight	0.13989262	74.75
features.stage2.unit3.branches.branch4.conv.conv.weight	0.5433276	67.5
features.stage2.unit4.branches.branch1.conv.conv.weight	0.8065113	59.25
features.stage2.unit4.branches.branch2.conv_list.conv1.conv.weight	0.16237019	74.5
features.stage2.unit4.branches.branch2.conv_list.conv2.conv.weight	0.09365047	74.25
features.stage2.unit4.branches.branch2.conv_list.conv3.conv.weight	0.14385657	76.0
features.stage2.unit4.branches.branch3.conv_list.conv1.conv.weight	0.22744144	75.75
features.stage2.unit4.branches.branch3.conv_list.conv2.conv.weight	0.1371239	77.0
features.stage2.unit4.branches.branch3.conv_list.conv3.conv.weight	0.113116875	77.25
features.stage2.unit4.branches.branch3.conv_list.conv4.conv.weight	0.11218602	78.75
features.stage2.unit4.branches.branch3.conv_list.conv5.conv.weight	0.16134086	75.25
features.stage2.unit4.branches.branch4.conv.conv.weight	0.17726149	73.0
features.stage2.unit5.branches.branch1.conv.conv.weight	0.32516563	73.0
features.stage2.unit5.branches.branch2.conv_list.conv1.conv.weight	0.20563528	73.75
features.stage2.unit5.branches.branch2.conv_list.conv2.conv.weight	0.12293407	74.0
features.stage2.unit5.branches.branch2.conv_list.conv3.conv.weight	0.118825495	75.0
features.stage2.unit5.branches.branch3.conv_list.conv1.conv.weight	0.3495944	71.25
features.stage2.unit5.branches.branch3.conv_list.conv2.conv.weight	0.20206337	76.25
features.stage2.unit5.branches.branch3.conv_list.conv3.conv.weight	0.14947774	77.25
features.stage2.unit5.branches.branch3.conv_list.conv4.conv.weight	0.14680202	76.5
features.stage2.unit5.branches.branch3.conv_list.conv5.conv.weight	0.17450109	74.0
features.stage2.unit5.branches.branch4.conv.conv.weight	3.264081	30.0
features.stage3.unit1.branches.branch1.conv_list.conv1.conv.weight	0.036644742	76.75
features.stage3.unit1.branches.branch1.conv_list.conv2.conv.weight	0.02834437	77.0
features.stage3.unit1.branches.branch2.conv_list.conv1.conv.weight	0.1750389	78.25
features.stage3.unit1.branches.branch2.conv_list.conv2.conv.weight	0.1406663	78.25
features.stage3.unit1.branches.branch2.conv_list.conv3.conv.weight	0.18805122	75.0
features.stage3.unit1.branches.branch2.conv_list.conv4.conv.weight	0.35885733	75.25
features.stage3.unit2.branches.branch1.conv.conv.weight	0.54976785	74.25
features.stage3.unit2.branches.branch2.conv_list.conv1.conv.weight	0.54270804	66.75
features.stage3.unit2.branches.branch2.conv1x3.conv.weight	0.11795752	72.5
features.stage3.unit2.branches.branch2.conv3x1.conv.weight	0.16640972	75.5
features.stage3.unit2.branches.branch3.conv_list.conv1.conv.weight	0.7680694	58.5
features.stage3.unit2.branches.branch3.conv_list.conv2.conv.weight	0.36094123	70.75
features.stage3.unit2.branches.branch3.conv1x3.conv.weight	0.059708804	74.75
features.stage3.unit2.branches.branch3.conv3x1.conv.weight	0.088752344	77.5
features.stage3.unit2.branches.branch4.conv.conv.weight	0.460751	76.25
features.stage3.unit3.branches.branch1.conv.conv.weight	0.06414799	80.5
features.stage3.unit3.branches.branch2.conv_list.conv1.conv.weight	0.7062181	80.0
features.stage3.unit3.branches.branch2.conv1x3.conv.weight	0.113185056	77.75
features.stage3.unit3.branches.branch2.conv3x1.conv.weight	0.103619136	80.25
features.stage3.unit3.branches.branch3.conv_list.conv1.conv.weight	0.9436469	76.75
features.stage3.unit3.branches.branch3.conv_list.conv2.conv.weight	0.49604404	77.25
features.stage3.unit3.branches.branch3.conv1x3.conv.weight	0.12796429	80.75
features.stage3.unit3.branches.branch3.conv3x1.conv.weight	0.14987637	78.25
features.stage3.unit3.branches.branch4.conv.conv.weight	0.029813444	76.75
output.fc.weight	3.4794555	73.75
---------------------------------------------------------
mask ratio : 0.25;
layer name	KL divergency	accuracy
features.init_block.conv1.conv.weight	0.52713186	68.0
features.init_block.conv2.conv.weight	0.9748318	62.0
features.init_block.conv3.conv.weight	1.6034709	52.5
features.init_block.conv4.conv.weight	1.5411234	50.25
features.init_block.conv5.conv.weight	0.40003577	69.5
features.stage1.unit1.branches.branch1.conv.conv.weight	0.2590407	75.25
features.stage1.unit1.branches.branch2.conv_list.conv1.conv.weight	0.01571842	79.0
features.stage1.unit1.branches.branch2.conv_list.conv2.conv.weight	0.026104614	80.0
features.stage1.unit1.branches.branch3.conv_list.conv1.conv.weight	0.017186278	79.25
features.stage1.unit1.branches.branch3.conv_list.conv2.conv.weight	0.026481656	75.5
features.stage1.unit1.branches.branch3.conv_list.conv3.conv.weight	0.020488178	75.0
features.stage1.unit1.branches.branch4.conv.conv.weight	0.049211625	78.25
features.stage1.unit2.branches.branch1.conv.conv.weight	0.51479006	66.75
features.stage1.unit2.branches.branch2.conv_list.conv1.conv.weight	0.030647697	78.0
features.stage1.unit2.branches.branch2.conv_list.conv2.conv.weight	0.012063479	82.0
features.stage1.unit2.branches.branch3.conv_list.conv1.conv.weight	0.021850476	78.0
features.stage1.unit2.branches.branch3.conv_list.conv2.conv.weight	0.01849251	78.5
features.stage1.unit2.branches.branch3.conv_list.conv3.conv.weight	0.012877717	82.0
features.stage1.unit2.branches.branch4.conv.conv.weight	0.08588594	75.25
features.stage1.unit3.branches.branch1.conv.conv.weight	0.18531998	78.25
features.stage1.unit3.branches.branch2.conv_list.conv1.conv.weight	0.027386488	75.25
features.stage1.unit3.branches.branch2.conv_list.conv2.conv.weight	0.013779921	77.75
features.stage1.unit3.branches.branch3.conv_list.conv1.conv.weight	0.026742192	79.0
features.stage1.unit3.branches.branch3.conv_list.conv2.conv.weight	0.02231902	78.5
features.stage1.unit3.branches.branch3.conv_list.conv3.conv.weight	0.015493401	80.75
features.stage1.unit3.branches.branch4.conv.conv.weight	0.23443009	76.0
features.stage2.unit1.branches.branch1.conv_list.conv1.conv.weight	0.020392025	79.0
features.stage2.unit1.branches.branch2.conv_list.conv1.conv.weight	0.008217578	77.25
features.stage2.unit1.branches.branch2.conv_list.conv2.conv.weight	0.014361021	74.25
features.stage2.unit1.branches.branch2.conv_list.conv3.conv.weight	0.0067316825	83.75
features.stage2.unit2.branches.branch1.conv.conv.weight	0.1486367	75.5
features.stage2.unit2.branches.branch2.conv_list.conv1.conv.weight	0.012776687	79.75
features.stage2.unit2.branches.branch2.conv_list.conv2.conv.weight	0.01018835	79.75
features.stage2.unit2.branches.branch2.conv_list.conv3.conv.weight	0.009611646	80.75
features.stage2.unit2.branches.branch3.conv_list.conv1.conv.weight	0.006902406	76.0
features.stage2.unit2.branches.branch3.conv_list.conv2.conv.weight	0.0047851377	81.0
features.stage2.unit2.branches.branch3.conv_list.conv3.conv.weight	0.0076920963	80.0
features.stage2.unit2.branches.branch3.conv_list.conv4.conv.weight	0.0050290884	80.5
features.stage2.unit2.branches.branch3.conv_list.conv5.conv.weight	0.0038668467	79.75
features.stage2.unit2.branches.branch4.conv.conv.weight	0.08334837	75.0
features.stage2.unit3.branches.branch1.conv.conv.weight	0.095788136	76.25
features.stage2.unit3.branches.branch2.conv_list.conv1.conv.weight	0.016705425	81.25
features.stage2.unit3.branches.branch2.conv_list.conv2.conv.weight	0.0064242696	76.75
features.stage2.unit3.branches.branch2.conv_list.conv3.conv.weight	0.0057737357	80.0
features.stage2.unit3.branches.branch3.conv_list.conv1.conv.weight	0.013380452	77.0
features.stage2.unit3.branches.branch3.conv_list.conv2.conv.weight	0.009136762	79.0
features.stage2.unit3.branches.branch3.conv_list.conv3.conv.weight	0.008468085	77.5
features.stage2.unit3.branches.branch3.conv_list.conv4.conv.weight	0.008115581	80.75
features.stage2.unit3.branches.branch3.conv_list.conv5.conv.weight	0.0069665974	80.25
features.stage2.unit3.branches.branch4.conv.conv.weight	0.047882862	77.75
features.stage2.unit4.branches.branch1.conv.conv.weight	0.06193539	78.25
features.stage2.unit4.branches.branch2.conv_list.conv1.conv.weight	0.020508457	78.0
features.stage2.unit4.branches.branch2.conv_list.conv2.conv.weight	0.0085729435	80.0
features.stage2.unit4.branches.branch2.conv_list.conv3.conv.weight	0.010288152	79.0
features.stage2.unit4.branches.branch3.conv_list.conv1.conv.weight	0.020874353	81.75
features.stage2.unit4.branches.branch3.conv_list.conv2.conv.weight	0.010972806	78.25
features.stage2.unit4.branches.branch3.conv_list.conv3.conv.weight	0.007258192	76.0
features.stage2.unit4.branches.branch3.conv_list.conv4.conv.weight	0.006700662	78.75
features.stage2.unit4.branches.branch3.conv_list.conv5.conv.weight	0.0061013633	76.25
features.stage2.unit4.branches.branch4.conv.conv.weight	0.028138306	77.5
features.stage2.unit5.branches.branch1.conv.conv.weight	0.04674884	81.25
features.stage2.unit5.branches.branch2.conv_list.conv1.conv.weight	0.02412325	77.5
features.stage2.unit5.branches.branch2.conv_list.conv2.conv.weight	0.009856611	80.75
features.stage2.unit5.branches.branch2.conv_list.conv3.conv.weight	0.013994012	77.0
features.stage2.unit5.branches.branch3.conv_list.conv1.conv.weight	0.03466581	78.75
features.stage2.unit5.branches.branch3.conv_list.conv2.conv.weight	0.011494684	79.5
features.stage2.unit5.branches.branch3.conv_list.conv3.conv.weight	0.015516596	78.0
features.stage2.unit5.branches.branch3.conv_list.conv4.conv.weight	0.010868259	79.5
features.stage2.unit5.branches.branch3.conv_list.conv5.conv.weight	0.010995341	81.0
features.stage2.unit5.branches.branch4.conv.conv.weight	0.11199203	77.0
features.stage3.unit1.branches.branch1.conv_list.conv1.conv.weight	0.012437649	80.0
features.stage3.unit1.branches.branch1.conv_list.conv2.conv.weight	0.0051515973	78.75
features.stage3.unit1.branches.branch2.conv_list.conv1.conv.weight	0.02702551	77.25
features.stage3.unit1.branches.branch2.conv_list.conv2.conv.weight	0.017305212	77.5
features.stage3.unit1.branches.branch2.conv_list.conv3.conv.weight	0.024479749	78.75
features.stage3.unit1.branches.branch2.conv_list.conv4.conv.weight	0.04709951	75.25
features.stage3.unit2.branches.branch1.conv.conv.weight	0.118493825	80.25
features.stage3.unit2.branches.branch2.conv_list.conv1.conv.weight	0.062210787	77.5
features.stage3.unit2.branches.branch2.conv1x3.conv.weight	0.01642267	79.5
features.stage3.unit2.branches.branch2.conv3x1.conv.weight	0.030851923	79.0
features.stage3.unit2.branches.branch3.conv_list.conv1.conv.weight	0.09633463	75.0
features.stage3.unit2.branches.branch3.conv_list.conv2.conv.weight	0.017509725	79.75
features.stage3.unit2.branches.branch3.conv1x3.conv.weight	0.006306544	77.0
features.stage3.unit2.branches.branch3.conv3x1.conv.weight	0.009334876	75.5
features.stage3.unit2.branches.branch4.conv.conv.weight	0.05115551	78.0
features.stage3.unit3.branches.branch1.conv.conv.weight	0.00972426	78.75
features.stage3.unit3.branches.branch2.conv_list.conv1.conv.weight	0.14648879	78.25
features.stage3.unit3.branches.branch2.conv1x3.conv.weight	0.013872121	76.75
features.stage3.unit3.branches.branch2.conv3x1.conv.weight	0.012379148	74.5
features.stage3.unit3.branches.branch3.conv_list.conv1.conv.weight	0.23234028	80.5
features.stage3.unit3.branches.branch3.conv_list.conv2.conv.weight	0.024234848	82.5
features.stage3.unit3.branches.branch3.conv1x3.conv.weight	0.015183922	78.0
features.stage3.unit3.branches.branch3.conv3x1.conv.weight	0.01528892	80.0
features.stage3.unit3.branches.branch4.conv.conv.weight	0.004281205	80.75
output.fc.weight	0.27459309	78.0
