---------------------------------------------------------
mask ratio : 0.75;
layer name	KL divergency	accuracy
features.stage3.unit8.body.conv1.conv.weight	0.007071073	77.0
features.stage3.unit8.body.conv2.conv.weight	0.0050451495	79.5
features.stage3.unit8.body.conv3.conv.weight	0.009871664	77.25
features.stage3.unit9.body.conv1.conv.weight	0.0077724974	76.25
features.stage3.unit9.body.conv2.conv.weight	0.0049434896	80.0
features.stage3.unit9.body.conv3.conv.weight	0.006553956	80.5
features.stage3.unit10.body.conv1.conv.weight	0.013334131	79.75
features.stage3.unit10.body.conv2.conv.weight	0.006307808	77.5
features.stage3.unit10.body.conv3.conv.weight	0.0069763847	76.0
features.stage3.unit11.body.conv1.conv.weight	0.01718114	77.75
features.stage3.unit11.body.conv2.conv.weight	0.0063890493	75.75
features.stage3.unit11.body.conv3.conv.weight	0.009061889	80.0
features.stage3.unit12.body.conv1.conv.weight	0.01220252	78.0
features.stage3.unit12.body.conv2.conv.weight	0.004547747	80.25
features.stage3.unit12.body.conv3.conv.weight	0.008503692	79.5
features.stage3.unit13.body.conv1.conv.weight	0.011121798	76.25
features.stage3.unit13.body.conv2.conv.weight	0.008283954	76.75
features.stage3.unit13.body.conv3.conv.weight	0.006412698	77.5
features.stage3.unit14.body.conv1.conv.weight	0.012444327	78.5
features.stage3.unit14.body.conv2.conv.weight	0.0065723746	79.5
features.stage3.unit14.body.conv3.conv.weight	0.009337736	75.75
features.stage3.unit15.body.conv1.conv.weight	0.017217439	78.25
features.stage3.unit15.body.conv2.conv.weight	0.0054642977	82.75
features.stage3.unit15.body.conv3.conv.weight	0.0076745218	78.0
features.stage3.unit16.body.conv1.conv.weight	0.0068103657	79.0
features.stage3.unit16.body.conv2.conv.weight	0.0066681756	77.0
features.stage3.unit16.body.conv3.conv.weight	0.009101417	77.25
features.stage3.unit17.body.conv1.conv.weight	0.0163688	80.75
features.stage3.unit17.body.conv2.conv.weight	0.008072358	79.0
features.stage3.unit17.body.conv3.conv.weight	0.008712434	78.75
features.stage3.unit18.body.conv1.conv.weight	0.014725778	79.5
features.stage3.unit18.body.conv2.conv.weight	0.007031511	79.0
features.stage3.unit18.body.conv3.conv.weight	0.008913166	77.25
features.stage3.unit19.body.conv1.conv.weight	0.019572148	80.25
features.stage3.unit19.body.conv2.conv.weight	0.013650847	76.25
features.stage3.unit19.body.conv3.conv.weight	0.012566946	75.75
features.stage3.unit20.body.conv1.conv.weight	0.026950538	78.5
features.stage3.unit20.body.conv2.conv.weight	0.010977658	78.75
features.stage3.unit20.body.conv3.conv.weight	0.0142678805	78.5
features.stage3.unit21.body.conv1.conv.weight	0.032657277	80.0
features.stage3.unit21.body.conv2.conv.weight	0.008878025	78.5
features.stage3.unit21.body.conv3.conv.weight	0.011540878	78.75
features.stage3.unit22.body.conv1.conv.weight	0.029097665	76.25
features.stage3.unit22.body.conv2.conv.weight	0.009847551	75.0
features.stage3.unit22.body.conv3.conv.weight	0.014083462	76.5
features.stage3.unit23.body.conv1.conv.weight	0.03159871	74.25
features.stage3.unit23.body.conv2.conv.weight	0.019402416	76.25
features.stage3.unit23.body.conv3.conv.weight	0.013956542	77.0
features.stage4.unit1.body.conv1.conv.weight	0.06068674	77.75
features.stage4.unit1.body.conv2.conv.weight	0.031608127	75.5
features.stage4.unit1.body.conv3.conv.weight	0.05533484	78.5
features.stage4.unit1.identity_conv.conv.weight	0.16722023	75.25
features.stage4.unit2.body.conv1.conv.weight	0.035855398	77.0
features.stage4.unit2.body.conv2.conv.weight	0.031916007	81.25
features.stage4.unit2.body.conv3.conv.weight	0.043459482	76.5
features.stage4.unit3.body.conv1.conv.weight	0.10389938	78.0
features.stage4.unit3.body.conv2.conv.weight	0.08236884	80.5
features.stage4.unit3.body.conv3.conv.weight	0.28228816	76.0
output.weight	0.8313037	64.0
